relative_path,board,tier,run_at,optimizer_cpu_seconds,optimizer_passes,score_before,score_after,delta,dL_before,dV_before,dB_before,dL_after,dV_after,dB_after,D,incomplete_after,drc_after,Lmin,Vmin,Bmin
PCBench/Eggbot-Spherebot-polargraph-Controller_eggbot-spherebot-polargraph-controller/unrouted.dsn,Eggbot-Spherebot-polargraph-Controller_eggbot-spherebot-polargraph-controller,A,2026-09-09T06:22:25.417178+00:00,22.28,2,695.31,705.73,10.42,0.0,31.25,273.44,0.0,20.83,273.44,192.0,0.0,0.0,1353.64,0,40
PCBench/59pct_keyboard/unrouted.dsn,59pct_keyboard,C,2026-09-09T05:39:44.489650+00:00,44.97,1,709.37,709.37,0.0,0.0,102.82,187.81,0.0,102.82,187.81,1206.0,4.0,40.0,7668.77,3,205
PCBench/ADC-PCM4202-SE_ADC-PCM4202-SE/unrouted.dsn,ADC-PCM4202-SE_ADC-PCM4202-SE,C,2026-09-09T05:53:26.462410+00:00,815.28,1,716.73,716.73,0.0,119.34,88.97,74.95,119.34,88.97,74.95,1034.0,0.0,0.0,2459.89,0,297
PCBench/CoreOne-xCORE200-Original_CoreOne/unrouted.dsn,CoreOne-xCORE200-Original_CoreOne,D,2026-09-09T07:18:10.246393+00:00,610.97,1,718.75,718.75,0.0,33.29,129.76,118.19,33.29,129.76,118.19,4408.0,5.0,33.0,7407.85,1,575
PCBench/kelvindmmwifi_kelvindmmwifi/unrouted.dsn,kelvindmmwifi_kelvindmmwifi,A,2026-09-09T06:24:40.983667+00:00,13.83,1,649.02,724.4,75.37,62.84,220.34,67.8,25.6,186.44,63.56,118.0,0.0,0.0,304.25,0,33
PCBench/Practicas-Curso-Kicad_Ejercicio_2/unrouted.dsn,Practicas-Curso-Kicad_Ejercicio_2,A,2026-09-09T06:29:23.819196+00:00,16.89,1,710.11,726.06,15.96,0.0,138.3,151.6,0.0,127.66,146.28,188.0,0.0,0.0,503.52,1,30
PCBench/AVR-ZIF-Programmer_AVR-ZIF-Prog/unrouted.dsn,AVR-ZIF-Programmer_AVR-ZIF-Prog,B,2026-09-09T06:02:13.555127+00:00,77.7,2,726.95,726.95,0.0,0.0,56.74,216.31,0.0,56.74,216.31,282.0,0.0,0.0,1525.53,0,54
PCBench/airqualitystation_hardware/unrouted.dsn,airqualitystation_hardware,B,2026-09-09T05:39:46.538850+00:00,80.44,1,710.18,729.12,18.94,23.62,185.19,81.02,23.2,166.67,81.02,216.0,0.0,0.0,642.29,4,59
PCBench/NightClock_ESPBoard/unrouted.dsn,NightClock_ESPBoard,A,2026-09-09T06:28:11.109109+00:00,19.59,1,697.66,729.21,31.55,96.79,111.11,94.44,81.9,100.0,88.89,180.0,0.0,0.0,546.98,0,38
PCBench/AVR-ISP_level-shifter_AVR-ISP_level-shifter/unrouted.dsn,AVR-ISP_level-shifter_AVR-ISP_level-shifter,B,2026-09-09T06:01:17.664345+00:00,6.44,1,730.01,730.01,0.0,49.4,47.06,173.53,49.4,47.06,173.53,170.0,1.0,0.0,349.41,0,48
PCBench/crossover-schiit-stack_xover4schiit/unrouted.dsn,crossover-schiit-stack_xover4schiit,A,2026-09-09T06:21:09.371932+00:00,0.5,1,735.51,735.51,0.0,14.49,0.0,250.0,14.49,0.0,250.0,24.0,0.0,0.0,168.4,0,0
PCBench/ATmega32_ExploreUltraAvrDevKit__autosave-MCU_BaseBoard/unrouted.dsn,ATmega32_ExploreUltraAvrDevKit__autosave-MCU_BaseBoard,C,2026-09-09T06:01:20.377367+00:00,39.77,1,736.89,736.89,0.0,0.0,76.14,186.97,0.0,76.14,186.97,1182.0,2.0,2.0,6934.7,0,203
PCBench/BITxo_BITxo/unrouted.dsn,BITxo_BITxo,B,2026-09-08T21:25:22.249959+00:00,11.44,1,723.04,740.77,17.73,92.75,70.18,114.04,88.18,52.63,118.42,114.0,0.0,2.0,260.49,5,37
PCBench/sensorboard_DiffIR/unrouted.dsn,sensorboard_DiffIR,A,2026-09-09T06:30:58.661163+00:00,17.72,2,741.08,741.08,0.0,31.14,111.11,116.67,31.14,111.11,116.67,90.0,0.0,0.0,246.59,0,30
PCBench/bikedar_bikedar/unrouted.dsn,bikedar_bikedar,B,2026-09-08T21:25:01.791745+00:00,415.0,1,708.64,742.92,34.28,139.03,71.04,81.28,120.47,65.57,71.04,732.0,0.0,6.0,649.55,0,88
PCBench/ESP_WiFiSwitch_WifiSwitch/unrouted.dsn,ESP_WiFiSwitch_WifiSwitch,A,2026-09-09T06:22:59.857591+00:00,6.48,2,743.9,743.9,0.0,0.0,146.34,109.76,0.0,146.34,109.76,82.0,0.0,0.0,348.49,0,21
PCBench/BGM111-External-Programmer_BGM111_Programmer/unrouted.dsn,BGM111-External-Programmer_BGM111_Programmer,A,2026-09-09T06:20:07.216083+00:00,6.75,2,746.88,746.88,0.0,70.83,83.33,98.96,70.83,83.33,98.96,96.0,0.0,0.0,132.57,0,6
PCBench/beer-gauge_sensorboard/unrouted.dsn,beer-gauge_sensorboard,B,2026-09-09T06:08:09.858420+00:00,20.63,1,684.69,748.93,64.25,83.83,166.67,64.81,70.51,111.11,69.44,108.0,0.0,12.0,176.43,0,28
PCBench/akuhei_akuhei/unrouted.dsn,akuhei_akuhei,B,2026-09-09T05:40:07.255982+00:00,2.41,1,750.0,750.0,0.0,0.0,96.77,153.23,0.0,96.77,153.23,124.0,2.0,0.0,321.86,0,33
PCBench/AmpOne_dev-AmpOne/unrouted.dsn,AmpOne_dev-AmpOne,C,2026-09-09T06:53:40.198360+00:00,93.58,1,751.74,751.74,0.0,43.55,71.96,132.75,43.55,71.96,132.75,806.0,1.0,0.0,2588.58,17,198
PCBench/AS5043-Encoder_sensor-board/unrouted.dsn,AS5043-Encoder_sensor-board,A,2026-09-09T06:19:44.997494+00:00,6.48,1,720.15,756.57,36.42,63.51,153.85,62.5,60.74,115.38,67.31,104.0,0.0,0.0,234.78,1,25
PCBench/esp8266_envmonitor_environment-monitor-1.2/unrouted.dsn,esp8266_envmonitor_environment-monitor-1.2,A,2026-09-09T06:22:57.484227+00:00,6.78,1,686.1,761.19,75.09,55.43,118.64,139.83,22.71,84.75,131.36,118.0,0.0,0.0,365.88,0,23
PCBench/ADC-PCM4202_ADC-PCM4202/unrouted.dsn,ADC-PCM4202_ADC-PCM4202,C,2026-09-09T06:59:28.567184+00:00,2849.3,1,762.14,762.14,0.0,81.44,106.42,50.0,81.44,106.42,50.0,1090.0,0.0,0.0,2564.81,8,312
PCBench/Avem_Hardware_Avem_demo/unrouted.dsn,Avem_Hardware_Avem_demo,B,2026-09-09T05:57:22.644075+00:00,25.22,1,770.69,770.69,0.0,0.0,117.24,112.07,0.0,117.24,112.07,290.0,1.0,0.0,678.27,0,69
PCBench/hardware-designs_spsgrf-board/unrouted.dsn,hardware-designs_spsgrf-board,A,2026-09-09T06:23:38.838968+00:00,0.86,1,765.15,772.73,7.58,0.0,151.52,83.33,0.0,151.52,75.76,66.0,0.0,0.0,190.52,0,10
