relative_path,native_score,v2_router_after,v2_optimizer_after,v2_optimizer_before,unrouted,drc,min_trace_length_mm,min_via_count,min_bend_count,difficulty_d
PCBench/ottawa-badges-2016_ottawa-badge-tagger-2016/unrouted.dsn,999.99,1000.0,999.39,999.29,0.0,0.0,291.17,0,24,82.0
PCBench/blink-errr_blink-errr/unrouted.dsn,999.99,1000.0,999.82,999.75,0.0,0.0,158.05,1,13,48.0
PCBench/esp8266_envmonitor_environment-monitor-1.2/unrouted.dsn,999.99,1000.0,999.87,999.54,0.0,0.0,365.88,0,23,118.0
PCBench/kitspace_esp8266-12-breakout/unrouted.dsn,999.99,1000.0,999.6,999.49,0.0,0.0,583.35,0,39,124.0
PCBench/kitspace_tt_opt101_module_b1/unrouted.dsn,999.99,1000.0,999.91,999.91,0.0,0.0,63.66,0,5,32.0
PCBench/BML-Badges_BML_01/unrouted.dsn,999.99,1000.0,999.83,999.81,0.0,0.0,358.9,0,18,86.0
PCBench/CubeSAT-Reaction-Wheel__autosave-GPIO to motor/unrouted.dsn,999.98,1000.0,999.45,999.41,0.0,0.0,702.31,0,21,116.0
PCBench/ADC-DAC-16bit_ADC-DAC-16bit/unrouted.dsn,999.99,1000.0,999.67,999.63,0.0,0.0,207.84,1,32,94.0
PCBench/kicad-projects_ili9341-breakout/unrouted.dsn,999.99,1000.0,999.7,999.68,0.0,0.0,311.94,0,18,76.0
PCBench/PsuFanController_FanController/unrouted.dsn,999.99,1000.0,999.86,999.89,0.0,0.0,172.72,0,11,64.0
PCBench/beryl_rain_beryl_rain/unrouted.dsn,993.09,980.77,999.61,999.61,1.0,0.0,461.47,0,33,130.0
PCBench/NightClock_ESPBoard/unrouted.dsn,999.99,1000.0,999.55,999.64,0.0,0.0,546.98,0,38,180.0
PCBench/fingerprint-with-esp32_quet van tay/unrouted.dsn,999.98,1000.0,999.81,999.85,0.0,0.0,532.64,0,15,122.0
PCBench/Cherry-Mx-Bitboard_Cherry Mx Bitboard/unrouted.dsn,999.99,1000.0,999.86,999.93,0.0,0.0,76.2,0,5,28.0
PCBench/Blink-Eras_AVR_ISP_Pogo/unrouted.dsn,999.98,1000.0,999.19,999.23,0.0,0.0,91.44,0,0,24.0
PCBench/LoLin_Designs_LoLin/unrouted.dsn,999.99,1000.0,999.97,999.95,0.0,0.0,254.19,0,13,88.0
PCBench/Eggbot-Spherebot-polargraph-Controller_eggbot-spherebot-polargraph-controller/unrouted.dsn,999.98,1000.0,999.43,999.44,0.0,0.0,1353.64,0,40,192.0
PCBench/kitspace_gas_sensor/unrouted.dsn,999.99,1000.0,999.82,999.83,0.0,0.0,261.73,0,19,66.0
PCBench/kelvindmmwifi_kelvindmmwifi/unrouted.dsn,999.94,998.72,999.81,999.68,0.0,6.0,304.25,0,33,118.0
PCBench/z2amiller_sensorboard/unrouted.dsn,999.99,1000.0,999.72,999.63,0.0,0.0,364.04,0,49,156.0
PCBench/cap-soil-moisture-v2_soil-moisture2x4/unrouted.dsn,999.99,1000.0,999.94,999.94,0.0,0.0,341.74,0,22,128.0
PCBench/mearm-base-pcb_ServoPCB/unrouted.dsn,999.98,1000.0,999.55,999.4,0.0,0.0,434.47,0,14,40.0
PCBench/usb2serial-CH340G_USB2TTL-CH340G/unrouted.dsn,993.58,979.59,999.73,999.73,1.0,0.0,229.29,0,37,132.0
PCBench/DaWeather---Project__autosave-CarteDaWeather/unrouted.dsn,999.99,1000.0,999.9,999.88,0.0,0.0,651.51,0,27,146.0
PCBench/Practicas-Curso-Kicad_Ejercicio_2/unrouted.dsn,999.99,1000.0,999.72,999.59,0.0,0.0,503.52,1,30,188.0
PCBench/kitspace_Arduino_uno_sheild/unrouted.dsn,999.98,1000.0,999.71,999.68,0.0,0.0,1100.86,0,33,172.0
PCBench/hm-mod-rpi-rtc_hm-mod-rpi-rtc/unrouted.dsn,999.99,1000.0,999.51,999.48,0.0,0.0,316.67,1,32,134.0
PCBench/ESP32-Module-Breakout_ESP32S-breakout/unrouted.dsn,937.09,782.61,999.68,999.68,10.0,0.0,765.21,0,44,170.0
PCBench/AnalogThermometer_AnalogThermometer/unrouted.dsn,999.99,1000.0,999.73,999.73,0.0,0.0,183.19,0,29,100.0
PCBench/scimpy_powersupply/unrouted.dsn,999.99,1000.0,999.82,999.89,0.0,0.0,265.5,0,15,44.0
PCBench/LaundryMeasure_ac-ac/unrouted.dsn,999.99,1000.0,1000.0,1000.0,0.0,0.0,53.82,0,5,32.0
PCBench/ponyser-pcb_Ponyser/unrouted.dsn,999.99,1000.0,999.92,999.92,0.0,0.0,105.43,0,18,78.0
PCBench/ID-FIX_scanConnect/unrouted.dsn,999.99,1000.0,999.96,999.96,0.0,0.0,55.12,0,6,48.0
PCBench/esp-leipa_esp-12/unrouted.dsn,999.99,1000.0,999.3,999.6,0.0,0.0,395.31,0,22,100.0
PCBench/apa102lantern_apa102-lantern-side/unrouted.dsn,999.99,1000.0,999.64,999.58,0.0,0.0,530.17,0,12,124.0
PCBench/Thremal-Printer_thermal printer/unrouted.dsn,990.37,972.97,999.68,999.68,2.0,0.0,1161.74,0,55,234.0
PCBench/Biscay_Blueeye_mcu/unrouted.dsn,999.99,1000.0,999.23,999.21,0.0,0.0,1133.67,0,40,200.0
PCBench/hardware-designs_nixie-power/unrouted.dsn,999.99,1000.0,999.81,999.83,0.0,0.0,465.9,0,37,100.0
PCBench/CubeSAT-Reaction-Wheel_Edison_Motor_Servo/unrouted.dsn,999.99,1000.0,999.86,999.86,0.0,0.0,137.16,0,5,64.0
PCBench/photon_Sprinkler_sprinkler/unrouted.dsn,999.99,1000.0,999.86,999.85,0.0,0.0,796.01,0,33,136.0
PCBench/Omega2-mini-dock_Omega2 mini-dock/unrouted.dsn,999.99,1000.0,999.89,999.89,0.0,0.0,619.17,0,62,222.0
PCBench/Solare-BQ24210_Solare-BQ24210/unrouted.dsn,987.01,964.29,999.82,999.82,1.0,0.0,116.07,0,18,80.0
PCBench/Practicas-Curso-Kicad_Ej2/unrouted.dsn,999.99,1000.0,999.59,999.73,0.0,0.0,552.51,1,34,188.0
